Film,Year,Genre
The Noose,1928,Drama
The Patent Leather Kid,1927,War
The Last Command,1928,Drama
The Way of All Flesh,1927,Drama
A Ship Comes In,1928,Drama
7th Heaven,1927,Drama
Street Angel,1928,Drama
Sunrise,1927,Drama
Sadie Thompson,1928,Drama
The Racket,1928,Crime
Wings,1927,Drama
The Jazz Singer,1927,Drama
Glorious Betsy,1928,Drama
Underworld,1927,Drama
The Private Life of Helen of Troy,1927,Comedy
Nana,1926,Drama
Thunderbolt,1929,Crime
In Old Arizona,1928,Western
Alibi,1929,Crime
The Valiant,1929,Drama
The Patriot,1928,Drama
Madame X,1929,Drama
The Barker,1928,Romance
The Letter,1929,Drama
The Divine Lady,1928,Drama
The Broadway Melody,1929,Music
Coquette,1929,Drama
Drag,1928,Crime
Weary River,1929,Drama
Hollywood Revue,1929,Comedy
The Cop,1928,Drama
The Leatherneck,1929,War
Sal of Singapore,1928,Drama
Skyscraper,1928,Drama
The Last of Mrs. Cheyney,1929,Comedy
Our Dancing Daughters,1928,Drama
A Woman of Affairs,1928,Drama
Wonder of Women,1929,Drama
Disraeli,1929,Drama
The Green Goddess,1930,Adventure
The Big House,1930,Crime
The Big Pond,1930,Romance
The Love Parade,1930,Comedy
Bulldog Drummond,1929,Action
Condemned,1929,Action
The Rogue Song,1930,Music
The Devil's Holiday,1930,Drama
Sarah and Son,1930,Drama
Anna Christie,1930,Drama
Romance,1929,Drama
The Divorcee,1930,Drama
Their Own Desire,1929,Drama
The Trespasser,1929,Drama
All Quiet on the Western Front,1930,Drama
Hallelujah,1929,Music
Street of Chance,1930,Crime
A Free Soul,1931,Drama
Skippy,1931,Drama
Cimarron,1931,Western
The Royal Family of Broadway,1930,Comedy
The Front Page,1931,Comedy
Morocco,1930,Drama
Min and Bill,1930,Drama
Holiday,1930,Romance
East Lynne,1931,Drama
Trader Horn,1931,Action
The Criminal Code,1931,Crime
Little Caesar,1931,Drama
The Dawn Patrol,1930,War
The Doorway to Hell,1930,Crime
Laughter,1930,Romance
