Nominess,Birth Country
Richard Barthelmess,['USA']
Emil Jannings,['Switzerland']
Louise Dresser,['USA']
Janet Gaynor,['USA']
Gloria Swanson,['USA']
Alfred Cohn,['Denmark']
Anthony Coldeway,['USA']
Benjamin Glazer,['UK']
Lajos Biro,['Romania']
Ben Hecht,['USA']
Gerald Duffy,['USA']
Joseph Farnham,['USA']
George Marion Jr.,['USA']
George Bancroft,['USA']
Warner Baxter,['USA']
Chester Morris,['USA']
Paul Muni,['Ukraine']
Lewis Stone,['USA']
Ruth Chatterton,['USA']
Betty Compson,['USA']
Jeanne Eagels,['USA']
Corinne Griffith,['USA']
Bessie Love,['USA']
Mary Pickford,['Canada']
Lionel Barrymore,['USA']
Harry Beaumont,['USA']
Irving Cummings,['USA']
Frank Lloyd,['Scotland']
Ernst Lubitsch,['Germany']
Tom Barry,['Ireland']
Elliott Clawson,['USA']
Hans Kraly,['Germany']
Josephine Lovett,['USA']
Bess Meredyth,['USA']
George Arliss,['UK']
Wallace Beery,['USA']
Maurice Chevalier,['France']
Ronald Colman,['UK']
Lawrence Tibbett,['USA']
Nancy Carroll,['UK']
Greta Garbo,['Sweden']
Norma Shearer,['Canada']
Clarence Brown,['USA']
Robert Leonard,['USA']
Lewis Milestone,['Russian Empire']
King Vidor,['USA']
"George Abbott, Maxwell Anderson, Del Andrews","['USA', 'USA', 'USA']"
Frances Marion,['USA']
Julian Josephson,['USA']
John Meehan,['USA']
Howard Estabrook,['USA']
Jackie Cooper,['USA']
Richard Dix,['USA']
Fredric March,['USA']
Adolphe Menjou,['USA']
Marlene Dietrich,['Germany']
Marie Dressler,['Canada']
Irene Dunne,['USA']
Ann Harding,['USA']
Wesley Ruggles,['USA']
Josef Von Sternberg,['Austria']
Norman Taurog,['USA']
"Seton I. Miller, Fred Niblo Jr.","['USA', 'USA']"
Horace Jackson,['USA']
"Francis Faragoh, Robert N. Lee","['Hungary', 'USA']"
"Joseph L. Mankiewicz, Sam Mintz","['USA', 'Belarus']"
John Monk Saunders,['USA']
Rowland Brown,['USA']
"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart","['Argentina', 'USA', 'USA']"
"John Bright, Kubec Glasmon","['USA', 'Poland']"
"Lucien Hubbard, Joseph Jackson","['USA', 'USA']"
Alfred Lunt,['USA']
Lynn Fontanne,['UK']
Helen Hayes,['USA']
Frank Borzage,['USA']
Sidney Howard,['USA']
Edwin Burke,['USA']
"Percy Heath, Samuel Hoffenstein","['USA', 'Russia']"
"Grover Jones, William Slavens McNutt","['USA', 'USA']"
Lucien Hubbard,['USA']
"Adela Rogers St. Johns, Jane Murfin","['USA', 'USA']"
Leslie Howard,['UK']
Charles Laughton,['UK']
Katharine Hepburn,['USA']
May Robson,['Australia']
Diana Wynyard,['UK']
Frank Capra,['Italy']
George Cukor,['USA']
Robert Riskin,['USA']
"Victor Heerman, Sarah Y. Mason","['UK', 'USA']"
"Paul Green, Sonya Levien","['UK', 'Russian Empire']"
Robert Lord,['USA']
Charles MacArthur,['USA']
Clark Gable,['USA']
Frank Morgan,['USA']
William Powell,['USA']
Claudette Colbert,['France']
Bette Davis,['USA']
Grace Moore,['USA']
Victor Schertzinger,['USA']
W. S. Van Dyke,['USA']
